frame_nr;type;score;center_x;center_y
135230;0;1.2047094494111803;54;17
135231;0;1.2912605196244982;59;17
135232;0;1.0381491571672228;65;17
135304;0;0.12160042822435174;2;12
135305;0;0.7178365379579332;7;12
135306;0;0.8869824796922472;8;12
135307;0;0.3924867302186755;13;12
135308;0;0.5671894341714647;18;12
135309;0;0.8062880426652697;20;14
135310;0;0.4281508117921618;25;15
135311;0;0.5923697143800524;32;14
135312;0;0.4619452148683337;36;15
135313;0;0.8522521644838121;42;15
135314;0;0.9609053522355822;48;17
135315;0;0.99751905500963;54;17
135316;0;1.0445720344789293;59;17
135317;0;0.9444947630174425;65;17
135318;0;0.5988943368203905;71;20
135319;0;0.4840156227357653;77;20
135895;1;0.1086321874827112;75;29
135896;0;0.6337594181306627;71;36
135897;0;0.15146575272157464;68;35
135898;0;0.5794424206025865;65;35
135899;1;0.27199480974375856;78;30
135900;1;0.6608083053797449;79;27
135901;1;0.3217599793642725;78;26
135901;0;0.3106307774789599;56;32
135902;0;0.46646449863984857;73;28
135902;1;0.2223050996035303;76;22
135903;0;0.24042222797944818;75;21
135903;0;0.1298405319459704;51;29
135904;0;0.47009883225038324;73;14
135904;0;0.21961496174409662;48;29
135905;0;0.33417979776933465;73;14
135906;0;0.3807320982225207;58;4
135907;0;0.37101958096101556;68;17
135908;0;0.6959712892778185;65;17
135909;0;0.8435207992799547;64;18
135910;0;0.7637992292650011;62;17
135911;0;0.6178653627641466;59;17
135912;0;0.5197676807649401;56;17
135913;0;0.6275997549302843;56;17
135914;0;0.3450526386506823;54;18
135915;1;0.26641515934168947;52;5
135916;0;0.3918935447938708;51;17
135917;0;0.3106886535890368;48;17
135918;0;0.44991890490129266;47;18
135919;1;0.25494323217570436;44;5
135920;1;0.3023155733317102;44;5
135922;0;0.3249420911081103;39;15
135923;0;0.1153449207551745;28;4
135924;1;0.17306343757807863;36;5
135925;1;0.2219744726389612;36;5
135927;1;0.31233594858348024;32;5
135928;1;0.21470491134822023;32;5
135929;0;0.16593364775254998;22;4
135930;0;0.13010249435975824;22;4
135932;0;0.13983366787507806;18;3
135933;1;0.41703132831751955;25;15
135934;1;0.6773025795191492;25;15
135935;1;0.2778400584429468;23;15
135938;0;0.13653300106599603;13;15
135939;0;0.22934506237581048;13;18
135940;0;0.13511476814821038;13;6
135941;0;0.1813345938928393;10;15
135942;0;0.3607490450151232;10;15
135943;0;0.19715229570939813;10;15
135946;1;0.23479781591593873;7;13
135947;1;0.18598757230937135;7;15
135948;1;0.37164364301859987;5;15
135949;1;0.13623426401316774;0;7
135950;1;0.34715763771235597;0;15
135951;1;0.3492855831354822;0;15
135952;1;0.4836483999460901;0;13
153236;0;0.3758308678872851;4;12
153237;0;0.6927825599916246;8;14
153238;0;0.2881246000535754;16;12
153239;0;0.8693066030748156;20;12
153240;0;1.0160310655839708;28;14
153241;0;1.2754228502519396;32;14
153242;0;0.637243667245653;40;14
153243;0;0.6701339870698717;45;17
153244;0;1.0987672001130846;54;17
153245;0;0.9880822092302111;61;17
153246;0;0.8694758802659777;68;20
153247;0;0.37707034647538934;73;24
