frame_nr;type;score;left;top;right;bottom
95705;0;0.8903;3;49;31;95
95706;1;0.9915;2;50;21;98
95707;1;0.2188;-8;50;16;98
96110;1;0.1165;133;38;149;78
96111;0;0.1657;125;42;145;74
96112;0;0.5102;89;46;109;78
96113;0;0.3429;85;46;105;78
96114;0;0.3864;81;46;101;78
96115;0;0.2496;77;46;97;78
96116;0;0.6446;73;46;93;78
96117;0;0.1945;69;46;93;84
96118;0;0.6480;64;46;88;84
96119;0;1.0722;97;42;117;74
96120;0;1.3707;93;42;113;74
96120;0;0.9942;55;46;79;84
96121;0;1.1428;89;42;109;74
96121;0;0.8576;50;46;74;84
96122;0;1.1623;85;42;105;74
96122;0;0.9794;45;46;69;84
96123;0;1.4157;79;41;103;79
96123;0;0.7966;40;46;64;84
96124;0;1.5033;77;42;97;74
96124;1;0.4995;41;46;57;86
96125;0;1.0177;73;42;93;74
96125;1;0.4461;37;46;53;86
96126;0;0.9851;69;41;93;79
96127;0;0.5778;65;42;85;74
96128;0;1.0031;59;41;84;79
96128;0;0.4000;12;50;36;89
96129;0;1.1884;55;41;79;79
96129;0;1.0359;3;49;31;95
96130;0;0.9785;50;41;74;79
96130;0;0.7445;3;49;31;95
96131;0;0.8585;45;41;69;79
96132;0;0.9010;45;41;69;79
96133;1;1.1476;45;42;61;82
96134;1;0.9331;37;42;53;82
96135;1;0.9952;37;46;53;86
96136;0;0.0223;20;44;49;90
96137;1;0.4690;17;42;33;82
96138;0;0.6768;8;44;37;90
96139;0;0.9144;3;44;31;90
96140;1;0.9939;7;46;26;94
96141;1;0.6178;-9;44;20;101
98013;0;0.5764;97;42;117;74
98014;0;0.7850;93;42;113;74
98015;0;0.2954;89;42;109;74
98016;0;0.4817;84;41;108;79
98017;0;0.5640;79;41;103;79
98018;0;0.4842;74;41;98;79
98019;0;0.7335;69;41;93;79
98020;0;0.7529;64;41;88;79
98021;0;0.7385;59;41;84;79
98022;0;0.3772;55;46;79;84
98023;0;0.8523;50;46;74;84
98024;0;0.6505;45;46;69;84
98025;1;0.4913;49;46;65;86
98026;0;0.8963;36;46;59;84
98027;1;1.0477;37;46;53;86
98029;0;0.8355;4;46;38;101
98030;0;1.2895;3;49;31;95
98031;0;0.9853;3;49;31;95
98032;1;0.2454;-9;49;20;107
104279;0;0.1636;133;42;153;74
104287;0;0.6940;97;42;117;74
104288;0;0.5422;93;42;113;74
104289;0;0.1953;89;42;109;74
104290;0;0.4147;84;41;108;79
104291;0;0.7818;79;41;103;79
104292;0;1.0579;74;41;98;79
